t=0,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15,t=16,t=17,t=18,t=19,t=20,t=21
0.0105,0.018017,0.028452,0.041883,0.058096,0.07663,0.096863,0.11811,0.13968,0.16099,0.18155,0.20098,0.21904,0.23559,0.25056,0.26397,0.27588,0.28638,0.29557,0.30358,0.31053,NaN
NaN,0.0061192,0.011409,0.019328,0.030195,0.044045,0.060623,0.079441,0.099862,0.12119,0.14277,0.164,0.18441,0.20366,0.22151,0.23783,0.25258,0.26577,0.27747,0.28777,0.29679,NaN
NaN,NaN,0.003282,0.0067344,0.012372,0.020701,0.032,0.046262,0.063196,0.082285,0.10288,0.12428,0.14584,0.16698,0.18725,0.20631,0.22394,0.24004,0.25456,0.26753,0.27903,NaN
NaN,NaN,NaN,0.0015995,0.0036656,0.0073946,0.013391,0.022135,0.033866,0.048535,0.065814,0.08516,0.10591,0.12738,0.14891,0.16995,0.19006,0.20892,0.22634,0.24222,0.25651,NaN
NaN,NaN,NaN,NaN,0.00069798,0.0018171,0.0040833,0.0081016,0.014467,0.023631,0.035793,0.050862,0.068474,0.088065,0.10896,0.13048,0.15197,0.1729,0.19284,0.21151,0.22872,NaN
NaN,NaN,NaN,NaN,NaN,0.00026811,0.0008086,0.002058,0.0045369,0.0088571,0.015601,0.025188,0.03778,0.053241,0.071175,0.090996,0.11202,0.13357,0.15501,0.17582,0.1956,NaN
NaN,NaN,NaN,NaN,NaN,NaN,0.0000889,0.00031771,0.00093351,0.002324,0.0050285,0.0096627,0.016793,0.026809,0.039826,0.055672,0.073915,0.093951,0.11509,0.13666,0.15804,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000249,0.00010813,0.00037498,0.0010741,0.0026168,0.0055597,0.01052,0.018046,0.028491,0.041931,0.058152,0.076692,0.09693,0.11817,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000572,0.0000312,0.00013091,0.00044084,0.0012317,0.0029383,0.0061325,0.01143,0.019359,0.030235,0.044094,0.06068,0.079504,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000105,0.00000743,0.0000389,0.00015779,0.00051629,0.0014079,0.0032903,0.0067487,0.012395,0.020732,0.032041,0.046313,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000148,0.00000142,0.00000958,0.0000482,0.00018933,0.0006024,0.0016042,0.0036746,0.00741,0.013415,0.022168,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.55E-08,0.00000021,0.0000019,0.0000123,0.0000595,0.00022621,0.00070031,0.0018222,0.004093,0.0081181,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.20E-09,2.32E-08,0.000000295,0.00000253,0.0000157,0.0000731,0.00026914,0.00081125,0.0020637,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00E-10,1.80E-09,3.43E-08,0.00000041,0.00000335,0.0000198,0.0000893,0.00031891,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1.00E-10,2.90E-09,5.02E-08,0.000000567,0.00000441,0.000025,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,2.00E-10,4.50E-09,7.29E-08,0.000000777,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,3.00E-10,6.80E-09,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
